instance sat family pattern-v pattern-e target-v target-e
si2-m4Dr6-m256.02 1 6 51 97 256 824
si2-m4Dr6-m256.01 1 6 51 76 256 823
si2-m4Dr6-m256.08 1 6 51 77 256 824
si2-m4Dr6-m256.03 1 6 51 93 256 820
si6-r01-m200.04 1 7 120 1373 200 3790
si6-r01-m200.08 1 7 120 1389 200 3776
si6-r01-m200.02 1 7 120 1366 200 3808
si6-r01-m200.09 1 7 120 1324 200 3786
si6-r01-m200.07 1 7 120 1351 200 3788
si6-r01-m200.00 1 7 120 1408 200 3797
si6-r01-m200.01 1 7 120 1352 200 3769
si6-r01-m200.03 1 7 120 1330 200 3794
si6-r01-m200.05 1 7 120 1344 200 3770
si6-r01-m200.06 1 7 120 1350 200 3757
si2-b03m-m800.03 1 4 160 182 800 1199
si2-b03m-m800.02 1 4 160 192 800 1198
si2-b03m-m800.09 1 4 160 180 800 1198
si2-b03m-m800.04 1 4 160 187 800 1200
si2-b03m-m800.06 1 4 160 188 800 1200
si2-b03m-m800.05 1 4 160 187 800 1200
si2-b03m-m800.01 1 4 160 187 800 1200
si2-b03m-m800.08 1 4 160 181 800 1199
si2-b03m-m800.07 1 4 160 186 800 1200
si2-b03m-m800.00 1 4 160 188 800 1199
si2-r001-m200.06 1 7 40 46 200 445
si2-r001-m200.01 1 7 40 48 200 449
si2-r001-m200.02 1 7 40 48 200 441
si2-r001-m200.07 1 7 40 54 200 456
si2-r001-m200.04 1 7 40 47 200 444
si2-r001-m200.05 1 7 40 44 200 452
si2-r001-m200.09 1 7 40 43 200 443
si2-r001-m200.03 1 7 40 46 200 449
si2-r001-m200.00 1 7 40 41 200 437
si2-r001-m200.08 1 7 40 46 200 443
si6-b03m-m800.01 1 4 480 641 800 1200
si6-b03m-m800.08 1 4 480 657 800 1200
si6-b03m-m800.03 1 4 480 651 800 1200
si6-b03m-m800.00 1 4 480 642 800 1200
si6-b03m-m800.04 1 4 480 650 800 1200
si6-b03m-m800.05 1 4 480 640 800 1200
si6-b03m-m800.07 1 4 480 650 800 1200
si6-b03m-m800.06 1 4 480 638 800 1198
si6-b03m-m800.09 1 4 480 647 800 1199
si6-b03m-m800.02 1 4 480 652 800 1200
si4-r005-m200.00 1 7 80 316 200 1949
si4-r005-m200.08 1 7 80 310 200 1947
si4-r005-m200.02 1 7 80 302 200 1943
si4-r005-m200.05 1 7 80 335 200 1946
si4-r005-m200.06 1 7 80 325 200 1958
si4-r005-m200.04 1 7 80 307 200 1948
si4-r005-m200.07 1 7 80 305 200 1954
si4-r005-m200.09 1 7 80 302 200 1935
si4-r005-m200.01 1 7 80 315 200 1949
si4-r005-m200.03 1 7 80 318 200 1948
si6-b09m-m400.03 1 4 240 821 400 1795
si6-b09m-m400.07 1 4 240 802 400 1796
si6-b09m-m400.00 1 4 240 832 400 1797
si6-b09m-m400.04 1 4 240 825 400 1795
si6-b09m-m400.06 1 4 240 825 400 1796
si6-b09m-m400.08 1 4 240 864 400 1798
si6-b09m-m400.02 1 4 240 837 400 1795
si6-b09m-m400.05 1 4 240 846 400 1792
si6-b09m-m400.09 1 4 240 799 400 1792
si6-b09m-m400.01 1 4 240 829 400 1797
si2-b09-m200.08 1 3 40 157 200 900
si2-b09-m200.01 1 3 40 156 200 900
si2-b09-m200.06 1 3 40 157 200 900
si2-b09-m200.05 1 3 40 157 200 900
si2-b09-m200.00 1 3 40 157 200 900
si2-b09-m200.02 1 3 40 154 200 900
si2-b09-m200.03 1 3 40 156 200 900
si2-b09-m200.04 1 3 40 156 200 900
si2-b09-m200.09 1 3 40 157 200 900
si2-b09-m200.07 1 3 40 157 200 900
si6-r01-m600.02 1 7 360 12235 600 34099
si6-r01-m600.06 1 7 360 12359 600 34176
si6-r01-m600.09 1 7 360 12410 600 34139
si6-r01-m600.08 1 7 360 12343 600 34194
si6-r01-m600.05 1 7 360 12310 600 34137
si6-r01-m600.07 1 7 360 12225 600 34093
si6-r01-m600.03 1 7 360 12368 600 34183
si6-r01-m600.00 1 7 360 12237 600 34191
si6-r01-m600.01 1 7 360 12175 600 34171
si6-r01-m600.04 1 7 360 12361 600 34143
si2-b06-m200.02 1 3 40 114 200 600
si2-b06-m200.00 1 3 40 114 200 600
si2-b06-m200.01 1 3 40 114 200 600
si2-b06-m200.06 1 3 40 114 200 600
si2-b06-m200.09 1 3 40 114 200 600
si2-b06-m200.07 1 3 40 114 200 600
si2-b06-m200.04 1 3 40 114 200 600
si2-b06-m200.08 1 3 40 114 200 600
si2-b06-m200.03 1 3 40 114 200 600
si2-b06-m200.05 1 3 40 114 200 600
si6-m4Dr2-m1296.05 1 6 777 1980 1296 3859
si6-m4Dr2-m1296.09 1 6 777 1896 1296 3858
si6-m4Dr2-m1296.01 1 6 777 2009 1296 3857
si6-m4Dr2-m1296.06 1 6 777 1758 1296 3859
si6-m4Dr2-m1296.07 1 6 777 1834 1296 3859
si6-m4Dr2-m1296.03 1 6 777 1936 1296 3858
si6-m4Dr2-m1296.04 1 6 777 1980 1296 3859
si6-m4Dr2-m1296.00 1 6 777 1801 1296 3859
si6-m4Dr2-m1296.08 1 6 777 1915 1296 3858
si6-m4Dr2-m1296.02 1 6 777 2001 1296 3859
si2-b09m-m800.09 1 4 160 357 800 3595
si2-b09m-m800.07 1 4 160 329 800 3596
si2-b09m-m800.00 1 4 160 397 800 3598
si2-b09m-m800.04 1 4 160 367 800 3592
si2-b09m-m800.02 1 4 160 420 800 3593
si2-b09m-m800.05 1 4 160 366 800 3598
si2-b09m-m800.03 1 4 160 380 800 3595
si2-b09m-m800.08 1 4 160 347 800 3595
si2-b09m-m800.06 1 4 160 404 800 3600
si2-b09m-m800.01 1 4 160 412 800 3595
si4-b03-m400.01 1 3 160 237 400 600
si4-b03-m400.02 1 3 160 237 400 600
si4-b03-m400.05 1 3 160 237 400 600
si4-b03-m400.07 1 3 160 237 400 600
si4-b03-m400.06 1 3 160 237 400 600
si4-b03-m400.00 1 3 160 237 400 600
si4-b03-m400.03 1 3 160 237 400 600
si4-b03-m400.04 1 3 160 237 400 600
si4-b03-m400.09 1 3 160 237 400 600
si4-b03-m400.08 1 3 160 237 400 600
si2-b03-m200.05 1 3 40 57 200 300
si2-b03-m200.09 1 3 40 57 200 300
si2-b03-m200.07 1 3 40 57 200 300
si2-b03-m200.01 1 3 40 57 200 300
si2-b03-m200.08 1 3 40 57 200 300
si2-b03-m200.02 1 3 40 57 200 300
si2-b03-m200.04 1 3 40 57 200 300
si2-b03-m200.03 1 3 40 57 200 300
si2-b03-m200.06 1 3 40 57 200 300
si2-b03-m200.00 1 3 40 57 200 300
si4-r005-m600.00 1 7 240 2851 600 17531
si4-r005-m600.02 1 7 240 2750 600 17548
si4-r005-m600.08 1 7 240 2818 600 17522
si4-r005-m600.05 1 7 240 2747 600 17540
si4-r005-m600.07 1 7 240 2770 600 17529
si4-r005-m600.06 1 7 240 2793 600 17565
si4-r005-m600.01 1 7 240 2806 600 17511
si4-r005-m600.04 1 7 240 2888 600 17542
si4-r005-m600.03 1 7 240 2843 600 17566
si4-r005-m600.09 1 7 240 2700 600 17521
si4-b09-m400.05 1 3 160 697 400 1800
si4-b09-m400.03 1 3 160 696 400 1800
si4-b09-m400.00 1 3 160 697 400 1800
si4-b09-m400.07 1 3 160 696 400 1800
si4-b09-m400.01 1 3 160 697 400 1800
si4-b09-m400.06 1 3 160 696 400 1800
si4-b09-m400.04 1 3 160 696 400 1800
si4-b09-m400.02 1 3 160 696 400 1800
si4-b09-m400.08 1 3 160 696 400 1800
si4-b09-m400.09 1 3 160 696 400 1800
si4-b06m-m400.06 1 4 160 352 400 1198
si4-b06m-m400.03 1 4 160 364 400 1198
si4-b06m-m400.01 1 4 160 356 400 1196
si4-b06m-m400.08 1 4 160 349 400 1199
si4-b06m-m400.05 1 4 160 312 400 1200
si4-b06m-m400.07 1 4 160 353 400 1200
si4-b06m-m400.00 1 4 160 348 400 1196
si4-b06m-m400.04 1 4 160 360 400 1200
si4-b06m-m400.09 1 4 160 340 400 1198
si4-b06m-m400.02 1 4 160 350 400 1198
si2-m4Dr2-m625.05 1 6 125 262 625 1825
si2-m4Dr2-m625.00 1 6 125 200 625 1824
si2-m4Dr2-m625.08 1 6 125 275 625 1825
si2-m4Dr2-m625.09 1 6 125 239 625 1824
si2-m4Dr2-m625.06 1 6 125 220 625 1824
si2-m4Dr2-m625.04 1 6 125 217 625 1825
si2-m4Dr2-m625.01 1 6 125 238 625 1825
si2-m4Dr2-m625.03 1 6 125 212 625 1825
si2-m4Dr2-m625.02 1 6 125 211 625 1825
si2-m4Dr2-m625.07 1 6 125 199 625 1825
si2-r005-m200.02 1 7 40 96 200 1941
si2-r005-m200.01 1 7 40 83 200 1941
si2-r005-m200.03 1 7 40 80 200 1949
si2-r005-m200.05 1 7 40 96 200 1954
si2-r005-m200.08 1 7 40 83 200 1937
si2-r005-m200.04 1 7 40 85 200 1953
si2-r005-m200.09 1 7 40 79 200 1934
si2-r005-m200.06 1 7 40 89 200 1943
si2-r005-m200.00 1 7 40 86 200 1938
si2-r005-m200.07 1 7 40 85 200 1946
si4-b03m-m400.03 1 4 160 202 400 599
si4-b03m-m400.09 1 4 160 205 400 600
si4-b03m-m400.08 1 4 160 202 400 599
si4-b03m-m400.04 1 4 160 203 400 600
si4-b03m-m400.00 1 4 160 201 400 600
si4-b03m-m400.01 1 4 160 198 400 600
si4-b03m-m400.07 1 4 160 203 400 600
si4-b03m-m400.02 1 4 160 199 400 600
si4-b03m-m400.06 1 4 160 194 400 600
si4-b03m-m400.05 1 4 160 207 400 600
si2-r01-m600.01 1 7 120 1380 600 34152
si2-r01-m600.06 1 7 120 1349 600 34158
si2-r01-m600.09 1 7 120 1404 600 34141
si2-r01-m600.08 1 7 120 1314 600 34166
si2-r01-m600.04 1 7 120 1389 600 34088
si2-r01-m600.02 1 7 120 1293 600 34188
si2-r01-m600.00 1 7 120 1322 600 34114
si2-r01-m600.07 1 7 120 1321 600 34083
si2-r01-m600.03 1 7 120 1350 600 34143
si2-r01-m600.05 1 7 120 1339 600 34210
si4-m4Dr6-m256.01 1 6 102 207 256 823
si4-m4Dr6-m256.00 1 6 102 204 256 825
si4-m4Dr6-m256.05 1 6 102 205 256 822
si4-m4Dr6-m256.08 1 6 102 187 256 824
si4-m4Dr6-m256.03 1 6 102 221 256 819
si4-m4Dr6-m256.06 1 6 102 221 256 825
si4-m4Dr6-m256.09 1 6 102 209 256 824
si4-m4Dr6-m256.07 1 6 102 196 256 825
si4-m4Dr6-m256.02 1 6 102 219 256 823
si4-m4Dr6-m256.04 1 6 102 207 256 824
si2-b03m-m400.02 1 4 80 96 400 600
si2-b03m-m400.00 1 4 80 94 400 600
si2-b03m-m400.01 1 4 80 90 400 599
si2-b03m-m400.05 1 4 80 94 400 598
si2-b03m-m400.08 1 4 80 93 400 599
si2-b03m-m400.07 1 4 80 88 400 599
si2-b03m-m400.09 1 4 80 92 400 600
si2-b03m-m400.03 1 4 80 94 400 600
si2-b03m-m400.04 1 4 80 89 400 600
si2-b03m-m400.06 1 4 80 89 400 600
si2-b03m-m200.05 1 4 40 50 200 300
si2-b03m-m200.03 1 4 40 45 200 300
si2-b03m-m200.00 1 4 40 47 200 299
si2-b03m-m200.08 1 4 40 48 200 300
si2-b03m-m200.06 1 4 40 47 200 300
si2-b03m-m200.02 1 4 40 46 200 299
si2-b03m-m200.09 1 4 40 45 200 300
si2-b03m-m200.04 1 4 40 43 200 299
si2-b03m-m200.01 1 4 40 45 200 300
si2-b03m-m200.07 1 4 40 44 200 299
si4-r001-m200.04 1 7 80 110 200 445
si4-r001-m200.07 1 7 80 114 200 443
si4-r001-m200.00 1 7 80 104 200 440
si4-r001-m200.01 1 7 80 114 200 447
si4-r001-m200.03 1 7 80 109 200 436
si4-r001-m200.06 1 7 80 117 200 441
si4-r001-m200.05 1 7 80 109 200 446
si4-r001-m200.08 1 7 80 111 200 448
si4-r001-m200.09 1 7 80 112 200 444
si4-r001-m200.02 1 7 80 119 200 451
si2-m4D-m256.08 1 5 51 104 256 672
si2-m4D-m256.03 1 5 51 106 256 672
si2-m4D-m256.02 1 5 51 100 256 672
si2-m4D-m256.06 1 5 51 106 256 672
si2-m4D-m256.04 1 5 51 96 256 672
si2-m4D-m256.07 1 5 51 101 256 672
si2-m4D-m256.01 1 5 51 106 256 672
si2-m4D-m256.09 1 5 51 100 256 672
si2-m4D-m256.00 1 5 51 102 256 672
si2-m4D-m256.05 1 5 51 107 256 672
si6-r01-m400.04 1 7 240 5443 400 15176
si6-r01-m400.08 1 7 240 5561 400 15185
si6-r01-m400.07 1 7 240 5421 400 15165
si6-r01-m400.06 1 7 240 5463 400 15168
si6-r01-m400.05 1 7 240 5386 400 15153
si6-r01-m400.02 1 7 240 5393 400 15158
si6-r01-m400.00 1 7 240 5415 400 15154
si6-r01-m400.03 1 7 240 5507 400 15174
si6-r01-m400.01 1 7 240 5501 400 15151
si6-r01-m400.09 1 7 240 5442 400 15206
si2-m4Dr4-m625.07 1 6 125 224 625 1950
si2-m4Dr4-m625.02 1 6 125 208 625 1948
si2-m4Dr4-m625.03 1 6 125 262 625 1947
si2-m4Dr4-m625.00 1 6 125 241 625 1948
si2-m4Dr4-m625.05 1 6 125 237 625 1949
si2-m4Dr4-m625.06 1 6 125 201 625 1949
si2-m4Dr4-m625.09 1 6 125 193 625 1947
si2-m4Dr4-m625.01 1 6 125 208 625 1950
si2-m4Dr4-m625.08 1 6 125 209 625 1950
si2-m4Dr4-m625.04 1 6 125 216 625 1949
si4-r01-m400.01 1 7 160 2433 400 15176
si4-r01-m400.08 1 7 160 2431 400 15158
si4-r01-m400.02 1 7 160 2409 400 15166
si4-r01-m400.03 1 7 160 2336 400 15191
si4-r01-m400.07 1 7 160 2396 400 15154
si4-r01-m400.06 1 7 160 2378 400 15111
si4-r01-m400.04 1 7 160 2401 400 15170
si4-r01-m400.00 1 7 160 2447 400 15187
si4-r01-m400.05 1 7 160 2422 400 15160
si4-r01-m400.09 1 7 160 2396 400 15168
si2-b09m-m400.09 1 4 80 164 400 1798
si2-b09m-m400.03 1 4 80 183 400 1798
si2-b09m-m400.01 1 4 80 156 400 1800
si2-b09m-m400.08 1 4 80 170 400 1796
si2-b09m-m400.05 1 4 80 207 400 1796
si2-b09m-m400.06 1 4 80 170 400 1796
si2-b09m-m400.00 1 4 80 186 400 1799
si2-b09m-m400.02 1 4 80 176 400 1795
si2-b09m-m400.04 1 4 80 183 400 1796
si2-b09m-m400.07 1 4 80 182 400 1793
si2-b09-m800.07 1 3 160 696 800 3600
si2-b09-m800.04 1 3 160 696 800 3600
si2-b09-m800.05 1 3 160 696 800 3600
si2-b09-m800.00 1 3 160 697 800 3600
si2-b09-m800.02 1 3 160 696 800 3600
si2-b09-m800.01 1 3 160 697 800 3600
si2-b09-m800.08 1 3 160 697 800 3600
si2-b09-m800.09 1 3 160 698 800 3600
si2-b09-m800.03 1 3 160 696 800 3600
si2-b09-m800.06 1 3 160 696 800 3600
si6-b03-m400.04 1 3 240 357 400 600
si6-b03-m400.09 1 3 240 357 400 600
si6-b03-m400.02 1 3 240 357 400 600
si6-b03-m400.06 1 3 240 357 400 600
si6-b03-m400.05 1 3 240 357 400 600
si6-b03-m400.08 1 3 240 357 400 600
si6-b03-m400.01 1 3 240 357 400 600
si6-b03-m400.07 1 3 240 357 400 600
si6-b03-m400.03 1 3 240 357 400 600
si6-b03-m400.00 1 3 240 357 400 600
si2-r005-m600.03 1 7 120 708 600 17505
si2-r005-m600.00 1 7 120 725 600 17555
si2-r005-m600.06 1 7 120 707 600 17499
si2-r005-m600.01 1 7 120 678 600 17569
si2-r005-m600.04 1 7 120 707 600 17543
si2-r005-m600.09 1 7 120 749 600 17530
si2-r005-m600.05 1 7 120 708 600 17546
si2-r005-m600.02 1 7 120 689 600 17530
si2-r005-m600.08 1 7 120 734 600 17517
si2-r005-m600.07 1 7 120 713 600 17495
si4-r01-m600.05 1 7 240 5516 600 34112
si4-r01-m600.02 1 7 240 5433 600 34145
si4-r01-m600.03 1 7 240 5451 600 34104
si4-r01-m600.07 1 7 240 5484 600 34082
si4-r01-m600.08 1 7 240 5422 600 34125
si4-r01-m600.06 1 7 240 5412 600 34176
si4-r01-m600.01 1 7 240 5516 600 34183
si4-r01-m600.04 1 7 240 5529 600 34150
si4-r01-m600.00 1 7 240 5515 600 34164
si4-r01-m600.09 1 7 240 5546 600 34183
si2-b09-m400.04 1 3 80 337 400 1800
si2-b09-m400.08 1 3 80 336 400 1800
si2-b09-m400.05 1 3 80 336 400 1800
